paragraph,LineNo,StringType, Text
0, 1, 0, 캐릭터 생성 창 입니다.
0, 2, 1, 캐릭터 이름을 정해 주세요.
1, 3, 2, 직업을 선택 해 주세요.(2:전사/3:궁수/4:마법사):
2, 1, 0, 전사 입니다.
2, 2, 0, 전사는 기본 능력치는
2, 3, 0, STR : 10 
2, 4, 0, DEX : 5 
2, 5, 0, INT : 5 
2, 6, 0, STR 를 올릴 수록 공격력이 크게 증가 합니다.
2, 7, 3, '전사'로 진행하시겠습니까? ( y / n )
3, 1, 0, 궁수 입니다.
3, 2, 0, 궁수는 기본 능력치는
3, 3, 0, STR : 5 
3, 4, 0, DEX : 10
3, 5, 0, INT : 5
3, 6, 0, DEX를 올릴 수록 공격력이 크게 증가 합니다.
3, 7, 3, '궁수'으로 진행 하시겠습니까? ( y / n )
4, 1, 0, 마법사 입니다.
4, 2, 0, 마법사는 기본 능력치는
4, 3, 0, STR : 5 
4, 4, 0, DEX : 5
4, 5, 0, INT : 10 
4, 6, 0, INT를 올릴 수록 공격력이 크게 증가 합니다.
4, 7, 3, '마법사'으로 진행 하시겠습니까? ( y / n )
