ItemCode,ItemType,ItemName,ItemPrice, Str, Dex, Int
041, 4, 누더기옷, 100, 5, 5, 5
042, 4, 허름한옷, 150, 15, 15, 15
043, 4, 나무갑옷, 300, 25, 25, 25
044, 4, 철갑옷, 450, 35, 35, 35
045, 4, 강철갑옷, 650, 45, 45, 45
046, 4, 최강의갑옷, 1000, 50, 50, 50
047, 5, 누더기바지, 100, 5, 5, 5
048, 5, 허름한바지, 150, 15, 15, 15
049, 5, 청바지, 350, 25, 25, 25
050, 5, 철바지, 400, 35, 35, 35
051, 5, 강철바지, 600, 45, 45, 45
052, 5, 최강의바지, 1000, 50, 50, 50
053, 6, 누더기신발, 300, 5, 5, 5
054, 6, 허름한신발, 500, 15, 15, 15
055, 6, 고무신, 600, 25, 25, 25
056, 6, 축복받은신발, 1000, 50, 50, 50
