iTextNum,ItemCode,ItemType,ItemName,ItemPrice
1, 001, 0, 빨간포션, 100
2, 002, 0, 주황포션, 250
3, 003, 0, 황금포션, 500
4, 004, 1, 파란포션, 300
5, 005, 1, 마나엘릭서, 500
6, 011, 77, 파워마나엘릭서, 700
7, 012, 2, 황금사과, 60000
8, 013, 2, 녹슨식칼, 150
9, 021, 2, 녹슨단검, 200
10, 022, 2, 녹슨검, 300
11, 024, 2, 몽둥이, 350
12, 025, 2, 야구 방망이, 400
13, 026, 2, 철검, 500
14, 027, 2, 강철단검, 600
15, 028, 2, 강철검, 650
16, 029, 2, 장미칼, 1000
17, 030, 2, 나무판자, 100
18, 031, 2, 나무방패, 150
19, 032, 2, 철방패, 300
20, 033, 2, 강철방패, 500
21, 034, 2, 최강의방패, 1000
22, 035, 3, 지푸라기모자, 100
23, 036, 3, 아디다스모자, 150
24, 037, 3, 나무모자, 300
25, 038, 3, 철헬멧, 500
26, 039, 3, 강철헬멧, 550
27, 040, 3, 최강의CAP, 100
28, 041, 4, 누더기옷, 100
29, 042, 4, 허름한옷, 150
30, 043, 4, 나무갑옷, 300
31, 044, 4, 철갑옷, 450
32, 045, 4, 강철갑옷, 650
33, 046, 4, 최강의갑옷, 1000
34, 047, 5, 누더기바지, 100
35, 048, 5, 허름한바지, 150
36, 049, 5, 청바지, 350
37, 050, 5, 철바지, 400
38, 051, 5, 강철바지, 600
39, 052, 5, 최강의바지, 1000
40, 053, 6, 누더기신발, 300
41, 054, 6, 허름한신발, 500
42, 055, 6, 고무신, 600
43, 056, 6, 축복받은신발, 1000


